# KAGRAplusCombined
# freq[Hz] htotal[/rtHz]
2.9612e+03 9.2956e-24
2.9887e+03 9.3818e-24
3.0163e+03 9.4689e-24
3.0443e+03 9.5567e-24
3.0725e+03 9.6453e-24
3.1009e+03 9.7348e-24
3.1296e+03 9.8251e-24
3.1586e+03 9.9162e-24
3.1879e+03 1.0008e-23
3.2174e+03 1.0101e-23
3.2472e+03 1.0195e-23
3.2773e+03 1.0289e-23
3.3076e+03 1.0385e-23
3.3383e+03 1.0481e-23
3.3692e+03 1.0578e-23
3.4004e+03 1.0676e-23
3.4319e+03 1.0775e-23
3.4637e+03 1.0875e-23
3.4958e+03 1.0976e-23
3.5282e+03 1.1078e-23
3.5608e+03 1.1181e-23
3.5938e+03 1.1284e-23
3.6271e+03 1.1389e-23
3.6607e+03 1.1495e-23
3.6946e+03 1.1601e-23
3.7288e+03 1.1709e-23
3.7634e+03 1.1818e-23
3.7982e+03 1.1927e-23
3.8334e+03 1.2038e-23
3.8689e+03 1.2149e-23
3.9047e+03 1.2262e-23
3.9409e+03 1.2376e-23
3.9774e+03 1.2491e-23
4.0142e+03 1.2606e-23
4.0514e+03 1.2723e-23
4.0889e+03 1.2841e-23
4.1268e+03 1.2960e-23
4.1650e+03 1.3081e-23
4.2036e+03 1.3202e-23
4.2426e+03 1.3324e-23
4.2819e+03 1.3448e-23
4.3215e+03 1.3572e-23
4.3615e+03 1.3698e-23
4.4019e+03 1.3825e-23
4.4427e+03 1.3953e-23
4.4839e+03 1.4083e-23
4.5254e+03 1.4213e-23
4.5673e+03 1.4345e-23
4.6096e+03 1.4478e-23
4.6523e+03 1.4612e-23
4.6954e+03 1.4748e-23
4.7389e+03 1.4884e-23
4.7828e+03 1.5022e-23
4.8271e+03 1.5162e-23
4.8718e+03 1.5302e-23
4.9169e+03 1.5444e-23
4.9624e+03 1.5587e-23
5.0084e+03 1.5732e-23
5.0548e+03 1.5878e-23
5.1016e+03 1.6025e-23
5.1489e+03 1.6173e-23
5.1966e+03 1.6323e-23
5.2447e+03 1.6475e-23
5.2933e+03 1.6627e-23
5.3423e+03 1.6781e-23
5.3918e+03 1.6937e-23
5.4417e+03 1.7094e-23
5.4921e+03 1.7252e-23
5.5430e+03 1.7412e-23
5.5943e+03 1.7574e-23
5.6461e+03 1.7737e-23
5.6984e+03 1.7901e-23
5.7512e+03 1.8067e-23
5.8045e+03 1.8234e-23
5.8582e+03 1.8403e-23
5.9125e+03 1.8574e-23
5.9673e+03 1.8746e-23
6.0225e+03 1.8920e-23
6.0783e+03 1.9095e-23
6.1346e+03 1.9272e-23
6.1914e+03 1.9451e-23
6.2488e+03 1.9631e-23
6.3067e+03 1.9813e-23
6.3651e+03 1.9996e-23
6.4240e+03 2.0182e-23
6.4835e+03 2.0369e-23
6.5436e+03 2.0558e-23
6.6042e+03 2.0748e-23
6.6654e+03 2.0940e-23
6.7271e+03 2.1134e-23
6.7894e+03 2.1330e-23
6.8523e+03 2.1528e-23
6.9158e+03 2.1727e-23
6.9798e+03 2.1929e-23
7.0445e+03 2.2132e-23
7.1097e+03 2.2337e-23
7.1756e+03 2.2544e-23
7.2420e+03 2.2753e-23
7.3091e+03 2.2964e-23
7.3768e+03 2.3177e-23
7.4451e+03 2.3391e-23
7.5141e+03 2.3608e-23
7.5837e+03 2.3827e-23
7.6539e+03 2.4048e-23
7.7248e+03 2.4270e-23
7.7964e+03 2.4495e-23
7.8686e+03 2.4722e-23
7.9415e+03 2.4951e-23
8.0150e+03 2.5182e-23
8.0892e+03 2.5416e-23
8.1642e+03 2.5651e-23
8.2398e+03 2.5889e-23
8.3161e+03 2.6129e-23
8.3931e+03 2.6371e-23
8.4709e+03 2.6615e-23
8.5493e+03 2.6862e-23
8.6285e+03 2.7111e-23
8.7084e+03 2.7362e-23
8.7891e+03 2.7615e-23
8.8705e+03 2.7871e-23
8.9527e+03 2.8130e-23
9.0356e+03 2.8390e-23
9.1193e+03 2.8653e-23
9.2037e+03 2.8919e-23
9.2890e+03 2.9187e-23
9.3750e+03 2.9457e-23
9.4618e+03 2.9729e-23
9.5495e+03 3.0004e-23
9.6379e+03 3.0280e-23
9.7272e+03 3.0558e-23
9.8173e+03 3.0837e-23
9.9082e+03 3.1116e-23
1.0000e+04 3.1395e-23
