# O4 Sensitivity 0.3excess-PR-50WatBS-300K-PessimisticLaserNoise
# frequency(Hz) strain(/rtHz) LF_noise susp_thermal mirror_thermal quantum laser_noise
1.6600e+00 1.4337e-12 1.4337e-12 1.9470e-18 4.8930e-22 7.4114e-21 3.2057e-20
1.6760e+00 1.3536e-12 1.3536e-12 2.1830e-18 4.8490e-22 7.2753e-21 3.1207e-20
1.6910e+00 1.2831e-12 1.2831e-12 2.4550e-18 4.8050e-22 7.1417e-21 3.0438e-20
1.7070e+00 1.2126e-12 1.2126e-12 2.7750e-18 4.7620e-22 7.0106e-21 2.9646e-20
1.7230e+00 1.1466e-12 1.1466e-12 3.1590e-18 4.7190e-22 6.8818e-21 2.8882e-20
1.7390e+00 1.0847e-12 1.0847e-12 3.6280e-18 4.6770e-22 6.7554e-21 2.8144e-20
1.7550e+00 1.0267e-12 1.0267e-12 4.2180e-18 4.6350e-22 6.6313e-21 2.7431e-20
1.7710e+00 9.7232e-13 9.7232e-13 4.9870e-18 4.5940e-22 6.5094e-21 2.6743e-20
1.7880e+00 9.1816e-13 9.1816e-13 6.0340e-18 4.5520e-22 6.3898e-21 2.6037e-20
1.8040e+00 8.7037e-13 8.7037e-13 7.5490e-18 4.5110e-22 6.2724e-21 2.5396e-20
1.8210e+00 8.2274e-13 8.2274e-13 9.9490e-18 4.4710e-22 6.1571e-21 2.4737e-20
1.8380e+00 7.7812e-13 7.7812e-13 1.4350e-17 4.4310e-22 6.0439e-21 2.4102e-20
1.8550e+00 7.3631e-13 7.3631e-13 2.5090e-17 4.3910e-22 5.9328e-21 2.3489e-20
1.8720e+00 6.9709e-13 6.9709e-13 9.1960e-17 4.3520e-22 5.8237e-21 2.2896e-20
1.8890e+00 6.6028e-13 6.6028e-13 5.7570e-17 4.3130e-22 5.7166e-21 2.2324e-20
1.9070e+00 6.2376e-13 6.2376e-13 2.2230e-17 4.2740e-22 5.6115e-21 2.1739e-20
1.9240e+00 5.9141e-13 5.9141e-13 1.3880e-17 4.2350e-22 5.5083e-21 2.1205e-20
1.9420e+00 5.5928e-13 5.5928e-13 1.0140e-17 4.1970e-22 5.4070e-21 2.0660e-20
1.9600e+00 5.2916e-13 5.2916e-13 8.0120e-18 4.1600e-22 5.3075e-21 2.0133e-20
1.9780e+00 5.0091e-13 5.0091e-13 6.6370e-18 4.1220e-22 5.2099e-21 1.9624e-20
1.9970e+00 4.7299e-13 4.7299e-13 5.6740e-18 4.0850e-22 5.1140e-21 1.9106e-20
2.0150e+00 4.4820e-13 4.4820e-13 4.9600e-18 4.0490e-22 5.0199e-21 1.8632e-20
2.0340e+00 4.2366e-13 4.2366e-13 4.4090e-18 4.0120e-22 4.9275e-21 1.8148e-20
2.0530e+00 4.0067e-13 4.0067e-13 3.9710e-18 3.9760e-22 4.8368e-21 1.7682e-20
2.0720e+00 3.7913e-13 3.7913e-13 3.6130e-18 3.9410e-22 4.7477e-21 1.7232e-20
2.0910e+00 3.5892e-13 3.5892e-13 3.3150e-18 3.9050e-22 4.6603e-21 1.6797e-20
2.1100e+00 3.3996e-13 3.3996e-13 3.0620e-18 3.8700e-22 4.5745e-21 1.6377e-20
2.1300e+00 3.2125e-13 3.2125e-13 2.8450e-18 3.8360e-22 4.4902e-21 1.5950e-20
2.1490e+00 3.0458e-13 3.0458e-13 2.6570e-18 3.8010e-22 4.4075e-21 1.5558e-20
2.1690e+00 2.8811e-13 2.8811e-13 2.4920e-18 3.7670e-22 4.3263e-21 1.5160e-20
2.1890e+00 2.7268e-13 2.7268e-13 2.3450e-18 3.7330e-22 4.2466e-21 1.4775e-20
2.2100e+00 2.5749e-13 2.5749e-13 2.2140e-18 3.7000e-22 4.1683e-21 1.4385e-20
2.2300e+00 2.4395e-13 2.4395e-13 2.0970e-18 3.6660e-22 4.0915e-21 1.4027e-20
2.2510e+00 2.3060e-13 2.3060e-13 1.9900e-18 3.6340e-22 4.0160e-21 1.3664e-20
2.2720e+00 2.1811e-13 2.1811e-13 1.8930e-18 3.6010e-22 3.9420e-21 1.3313e-20
2.2930e+00 2.0639e-13 2.0639e-13 1.8050e-18 3.5690e-22 3.8693e-21 1.2974e-20
2.3140e+00 1.9541e-13 1.9541e-13 1.7240e-18 3.5370e-22 3.7979e-21 1.2647e-20
2.3350e+00 1.8510e-13 1.8510e-13 1.6490e-18 3.5050e-22 3.7278e-21 1.2332e-20
2.3570e+00 1.7497e-13 1.7497e-13 1.5800e-18 3.4730e-22 3.6590e-21 1.2012e-20
2.3790e+00 1.6548e-13 1.6548e-13 1.5150e-18 3.4420e-22 3.5915e-21 1.1703e-20
2.4010e+00 1.5659e-13 1.5659e-13 1.4550e-18 3.4110e-22 3.5252e-21 1.1406e-20
2.4230e+00 1.4825e-13 1.4825e-13 1.3990e-18 3.3810e-22 3.4601e-21 1.1118e-20
2.4460e+00 1.4008e-13 1.4008e-13 1.3470e-18 3.3500e-22 3.3962e-21 1.0828e-20
2.4680e+00 1.3275e-13 1.3275e-13 1.2980e-18 3.3200e-22 3.3335e-21 1.0560e-20
2.4910e+00 1.2557e-13 1.2557e-13 1.2520e-18 3.2910e-22 3.2719e-21 1.0289e-20
2.5140e+00 1.1883e-13 1.1883e-13 1.2080e-18 3.2610e-22 3.2115e-21 1.0028e-20
2.5370e+00 1.1251e-13 1.1251e-13 1.1670e-18 3.2320e-22 3.1521e-21 9.7751e-21
2.5610e+00 1.0633e-13 1.0633e-13 1.1280e-18 3.2030e-22 3.0939e-21 9.5208e-21
2.5850e+00 1.0054e-13 1.0054e-13 1.0910e-18 3.1740e-22 3.0367e-21 9.2753e-21
2.6090e+00 9.5121e-14 9.5121e-14 1.0550e-18 3.1460e-22 2.9805e-21 9.0384e-21
2.6330e+00 9.0036e-14 9.0036e-14 1.0220e-18 3.1170e-22 2.9254e-21 8.8096e-21
2.6570e+00 8.5265e-14 8.5265e-14 9.9020e-19 3.0890e-22 2.8713e-21 8.5886e-21
2.6820e+00 8.0606e-14 8.0606e-14 9.5990e-19 3.0620e-22 2.8181e-21 8.3663e-21
2.7070e+00 7.6242e-14 7.6242e-14 9.3090e-19 3.0340e-22 2.7660e-21 8.1518e-21
2.7320e+00 7.2150e-14 7.2150e-14 9.0330e-19 3.0070e-22 2.7148e-21 7.9446e-21
2.7570e+00 6.8313e-14 6.8313e-14 8.7680e-19 2.9800e-22 2.6645e-21 7.7446e-21
2.7830e+00 6.4572e-14 6.4572e-14 8.5140e-19 2.9530e-22 2.6151e-21 7.5437e-21
2.8080e+00 6.1198e-14 6.1198e-14 8.2710e-19 2.9270e-22 2.5667e-21 7.3571e-21
2.8340e+00 5.7906e-14 5.7906e-14 8.0380e-19 2.9010e-22 2.5191e-21 7.1697e-21
2.8610e+00 5.4703e-14 5.4703e-14 7.8130e-19 2.8750e-22 2.4724e-21 6.9818e-21
2.8870e+00 5.1813e-14 5.1813e-14 7.5980e-19 2.8490e-22 2.4266e-21 6.8072e-21
2.9140e+00 4.8999e-14 4.8999e-14 7.3910e-19 2.8230e-22 2.3816e-21 6.6321e-21
2.9410e+00 4.6361e-14 4.6361e-14 7.1910e-19 2.7980e-22 2.3374e-21 6.4630e-21
2.9680e+00 4.3887e-14 4.3887e-14 6.9990e-19 2.7730e-22 2.2940e-21 6.2997e-21
2.9960e+00 4.1483e-14 4.1483e-14 6.8140e-19 2.7480e-22 2.2515e-21 6.1363e-21
3.0230e+00 3.9309e-14 3.9309e-14 6.6350e-19 2.7240e-22 2.2097e-21 5.9840e-21
3.0510e+00 3.7194e-14 3.7194e-14 6.4630e-19 2.6990e-22 2.1686e-21 5.8315e-21
3.0800e+00 3.5141e-14 3.5141e-14 6.2960e-19 2.6750e-22 2.1283e-21 5.6791e-21
3.1080e+00 3.3284e-14 3.3284e-14 6.1350e-19 2.6510e-22 2.0888e-21 5.5370e-21
3.1370e+00 3.1480e-14 3.1480e-14 5.9800e-19 2.6270e-22 2.0500e-21 5.3949e-21
3.1660e+00 2.9789e-14 2.9789e-14 5.8290e-19 2.6040e-22 2.0119e-21 5.2576e-21
3.1950e+00 2.8203e-14 2.8203e-14 5.6830e-19 2.5800e-22 1.9744e-21 5.1251e-21
3.2250e+00 2.6665e-14 2.6665e-14 5.5420e-19 2.5570e-22 1.9377e-21 4.9927e-21
3.2550e+00 2.5224e-14 2.5224e-14 5.4060e-19 2.5340e-22 1.9016e-21 4.8649e-21
3.2850e+00 2.3873e-14 2.3873e-14 5.2730e-19 2.5120e-22 1.8662e-21 4.7416e-21
3.3150e+00 2.2606e-14 2.2606e-14 5.1450e-19 2.4890e-22 1.8315e-21 4.6224e-21
3.3460e+00 2.1378e-14 2.1378e-14 5.0210e-19 2.4670e-22 1.7974e-21 4.5035e-21
3.3770e+00 2.0227e-14 2.0227e-14 4.9000e-19 2.4450e-22 1.7639e-21 4.3887e-21
3.4080e+00 1.9148e-14 1.9148e-14 4.7830e-19 2.4230e-22 1.7310e-21 4.2778e-21
3.4400e+00 1.8104e-14 1.8104e-14 4.6690e-19 2.4010e-22 1.6987e-21 4.1673e-21
3.4720e+00 1.7125e-14 1.7125e-14 4.5590e-19 2.3800e-22 1.6670e-21 4.0607e-21
3.5040e+00 1.6208e-14 1.6208e-14 4.4510e-19 2.3580e-22 1.6359e-21 3.9577e-21
3.5360e+00 1.5348e-14 1.5348e-14 4.3470e-19 2.3370e-22 1.6054e-21 3.8582e-21
3.5690e+00 1.4516e-14 1.4516e-14 4.2460e-19 2.3160e-22 1.5754e-21 3.7592e-21
3.6020e+00 1.3736e-14 1.3736e-14 4.1470e-19 2.2960e-22 1.5459e-21 3.6635e-21
3.6350e+00 1.3005e-14 1.3005e-14 4.0510e-19 2.2750e-22 1.5170e-21 3.5712e-21
3.6690e+00 1.2298e-14 1.2298e-14 3.9580e-19 2.2550e-22 1.4887e-21 3.4793e-21
3.7030e+00 1.1636e-14 1.1636e-14 3.8670e-19 2.2350e-22 1.4608e-21 3.3906e-21
3.7370e+00 1.1015e-14 1.1015e-14 3.7790e-19 2.2150e-22 1.4335e-21 3.3049e-21
3.7720e+00 1.0416e-14 1.0416e-14 3.6930e-19 2.1950e-22 1.4067e-21 3.2197e-21
3.8070e+00 9.8543e-15 9.8543e-15 3.6100e-19 2.1750e-22 1.3803e-21 3.1375e-21
3.8420e+00 9.3278e-15 9.3278e-15 3.5280e-19 2.1560e-22 1.3544e-21 3.0582e-21
3.8780e+00 8.8201e-15 8.8201e-15 3.4490e-19 2.1370e-22 1.3291e-21 2.9793e-21
3.9140e+00 8.3444e-15 8.3444e-15 3.3710e-19 2.1170e-22 1.3041e-21 2.9033e-21
3.9500e+00 7.8984e-15 7.8984e-15 3.2960e-19 2.0980e-22 1.2797e-21 2.8298e-21
3.9870e+00 7.4687e-15 7.4687e-15 3.2220e-19 2.0800e-22 1.2556e-21 2.7569e-21
4.0240e+00 7.0660e-15 7.0660e-15 3.1510e-19 2.0610e-22 1.2321e-21 2.6865e-21
4.0610e+00 6.6884e-15 6.6884e-15 3.0810e-19 2.0430e-22 1.2089e-21 2.6185e-21
4.0980e+00 6.3342e-15 6.3342e-15 3.0130e-19 2.0240e-22 1.1862e-21 2.5528e-21
