# O4 Sensitivity 0.04excess-PR-50WatBS-40K-FeasibleLaserNoise
# frequency(Hz) strain(/rtHz) LF_noise susp_thermal mirror_thermal quantum laser_noise
1.6600e+00 1.9117e-13 1.9117e-13 7.0360e-20 3.2920e-23 7.4114e-21 3.2057e-20
1.6760e+00 1.8047e-13 1.8047e-13 7.4060e-20 3.2800e-23 7.2753e-21 3.1207e-20
1.6910e+00 1.7108e-13 1.7108e-13 7.8520e-20 3.2690e-23 7.1417e-21 3.0438e-20
1.7070e+00 1.6168e-13 1.6168e-13 8.3960e-20 3.2580e-23 7.0106e-21 2.9646e-20
1.7230e+00 1.5288e-13 1.5288e-13 9.0680e-20 3.2460e-23 6.8818e-21 2.8882e-20
1.7390e+00 1.4463e-13 1.4463e-13 9.9140e-20 3.2350e-23 6.7554e-21 2.8144e-20
1.7550e+00 1.3690e-13 1.3690e-13 1.1000e-19 3.2240e-23 6.6313e-21 2.7431e-20
1.7710e+00 1.2964e-13 1.2964e-13 1.2450e-19 3.2130e-23 6.5094e-21 2.6743e-20
1.7880e+00 1.2242e-13 1.2242e-13 1.4450e-19 3.2010e-23 6.3898e-21 2.6037e-20
1.8040e+00 1.1605e-13 1.1605e-13 1.7380e-19 3.1900e-23 6.2724e-21 2.5396e-20
1.8210e+00 1.0970e-13 1.0970e-13 2.2070e-19 3.1790e-23 6.1571e-21 2.4737e-20
1.8380e+00 1.0375e-13 1.0375e-13 3.0730e-19 3.1680e-23 6.0439e-21 2.4102e-20
1.8550e+00 9.8174e-14 9.8174e-14 5.1970e-19 3.1570e-23 5.9328e-21 2.3489e-20
1.8720e+00 9.2945e-14 9.2945e-14 1.8450e-18 3.1460e-23 5.8237e-21 2.2896e-20
1.8890e+00 8.8038e-14 8.8038e-14 1.1210e-18 3.1350e-23 5.7166e-21 2.2324e-20
1.9070e+00 8.3168e-14 8.3168e-14 4.2080e-19 3.1250e-23 5.6115e-21 2.1739e-20
1.9240e+00 7.8855e-14 7.8855e-14 2.5570e-19 3.1140e-23 5.5083e-21 2.1205e-20
1.9420e+00 7.4570e-14 7.4570e-14 1.8200e-19 3.1030e-23 5.4070e-21 2.0660e-20
1.9600e+00 7.0554e-14 7.0554e-14 1.4030e-19 3.0920e-23 5.3075e-21 2.0133e-20
1.9780e+00 6.6789e-14 6.6789e-14 1.1360e-19 3.0820e-23 5.2099e-21 1.9624e-20
1.9970e+00 6.3065e-14 6.3065e-14 9.4960e-20 3.0710e-23 5.1140e-21 1.9106e-20
2.0150e+00 5.9760e-14 5.9760e-14 8.1270e-20 3.0600e-23 5.0199e-21 1.8632e-20
2.0340e+00 5.6488e-14 5.6488e-14 7.0810e-20 3.0500e-23 4.9275e-21 1.8148e-20
2.0530e+00 5.3423e-14 5.3423e-14 6.2550e-20 3.0390e-23 4.8368e-21 1.7682e-20
2.0720e+00 5.0550e-14 5.0550e-14 5.5870e-20 3.0290e-23 4.7477e-21 1.7232e-20
2.0910e+00 4.7856e-14 4.7856e-14 5.0370e-20 3.0180e-23 4.6603e-21 1.6797e-20
2.1100e+00 4.5328e-14 4.5328e-14 4.5760e-20 3.0080e-23 4.5745e-21 1.6377e-20
2.1300e+00 4.2833e-14 4.2833e-14 4.1840e-20 2.9970e-23 4.4902e-21 1.5950e-20
2.1490e+00 4.0611e-14 4.0611e-14 3.8470e-20 2.9870e-23 4.4075e-21 1.5558e-20
2.1690e+00 3.8415e-14 3.8415e-14 3.5550e-20 2.9770e-23 4.3263e-21 1.5160e-20
2.1890e+00 3.6357e-14 3.6357e-14 3.2990e-20 2.9670e-23 4.2466e-21 1.4775e-20
2.2100e+00 3.4333e-14 3.4333e-14 3.0730e-20 2.9560e-23 4.1683e-21 1.4385e-20
2.2300e+00 3.2526e-14 3.2526e-14 2.8720e-20 2.9460e-23 4.0915e-21 1.4027e-20
2.2510e+00 3.0747e-14 3.0747e-14 2.6920e-20 2.9360e-23 4.0160e-21 1.3664e-20
2.2720e+00 2.9081e-14 2.9081e-14 2.5300e-20 2.9260e-23 3.9420e-21 1.3313e-20
2.2930e+00 2.7519e-14 2.7519e-14 2.3840e-20 2.9160e-23 3.8693e-21 1.2974e-20
2.3140e+00 2.6054e-14 2.6054e-14 2.2510e-20 2.9060e-23 3.7979e-21 1.2647e-20
2.3350e+00 2.4680e-14 2.4680e-14 2.1300e-20 2.8960e-23 3.7278e-21 1.2332e-20
2.3570e+00 2.3329e-14 2.3329e-14 2.0200e-20 2.8860e-23 3.6590e-21 1.2012e-20
2.3790e+00 2.2064e-14 2.2064e-14 1.9180e-20 2.8760e-23 3.5915e-21 1.1703e-20
2.4010e+00 2.0879e-14 2.0879e-14 1.8240e-20 2.8660e-23 3.5252e-21 1.1406e-20
2.4230e+00 1.9767e-14 1.9767e-14 1.7370e-20 2.8560e-23 3.4601e-21 1.1118e-20
2.4460e+00 1.8678e-14 1.8678e-14 1.6570e-20 2.8460e-23 3.3962e-21 1.0828e-20
2.4680e+00 1.7701e-14 1.7701e-14 1.5820e-20 2.8370e-23 3.3335e-21 1.0560e-20
2.4910e+00 1.6742e-14 1.6742e-14 1.5130e-20 2.8270e-23 3.2719e-21 1.0289e-20
2.5140e+00 1.5844e-14 1.5844e-14 1.4480e-20 2.8170e-23 3.2115e-21 1.0028e-20
2.5370e+00 1.5002e-14 1.5002e-14 1.3870e-20 2.8070e-23 3.1521e-21 9.7751e-21
2.5610e+00 1.4178e-14 1.4178e-14 1.3300e-20 2.7980e-23 3.0939e-21 9.5208e-21
2.5850e+00 1.3406e-14 1.3406e-14 1.2760e-20 2.7880e-23 3.0367e-21 9.2753e-21
2.6090e+00 1.2683e-14 1.2683e-14 1.2260e-20 2.7790e-23 2.9805e-21 9.0384e-21
2.6330e+00 1.2005e-14 1.2005e-14 1.1780e-20 2.7690e-23 2.9254e-21 8.8096e-21
2.6570e+00 1.1369e-14 1.1369e-14 1.1330e-20 2.7600e-23 2.8713e-21 8.5886e-21
2.6820e+00 1.0747e-14 1.0747e-14 1.0910e-20 2.7500e-23 2.8181e-21 8.3663e-21
2.7070e+00 1.0166e-14 1.0166e-14 1.0510e-20 2.7410e-23 2.7660e-21 8.1518e-21
2.7320e+00 9.6200e-15 9.6200e-15 1.0130e-20 2.7310e-23 2.7148e-21 7.9446e-21
2.7570e+00 9.1083e-15 9.1083e-15 9.7660e-21 2.7220e-23 2.6645e-21 7.7446e-21
2.7830e+00 8.6096e-15 8.6096e-15 9.4220e-21 2.7130e-23 2.6151e-21 7.5437e-21
2.8080e+00 8.1598e-15 8.1598e-15 9.0950e-21 2.7030e-23 2.5667e-21 7.3571e-21
2.8340e+00 7.7208e-15 7.7208e-15 8.7840e-21 2.6940e-23 2.5191e-21 7.1697e-21
2.8610e+00 7.2938e-15 7.2938e-15 8.4870e-21 2.6850e-23 2.4724e-21 6.9818e-21
2.8870e+00 6.9084e-15 6.9084e-15 8.2030e-21 2.6760e-23 2.4266e-21 6.8072e-21
2.9140e+00 6.5332e-15 6.5332e-15 7.9330e-21 2.6670e-23 2.3816e-21 6.6321e-21
2.9410e+00 6.1814e-15 6.1814e-15 7.6740e-21 2.6580e-23 2.3374e-21 6.4630e-21
2.9680e+00 5.8516e-15 5.8516e-15 7.4260e-21 2.6480e-23 2.2940e-21 6.2997e-21
2.9960e+00 5.5311e-15 5.5311e-15 7.1890e-21 2.6390e-23 2.2515e-21 6.1362e-21
3.0230e+00 5.2412e-15 5.2412e-15 6.9620e-21 2.6300e-23 2.2097e-21 5.9840e-21
3.0510e+00 4.9591e-15 4.9591e-15 6.7440e-21 2.6210e-23 2.1686e-21 5.8315e-21
3.0800e+00 4.6855e-15 4.6855e-15 6.5350e-21 2.6120e-23 2.1283e-21 5.6791e-21
3.1080e+00 4.4379e-15 4.4379e-15 6.3340e-21 2.6030e-23 2.0888e-21 5.5370e-21
3.1370e+00 4.1973e-15 4.1973e-15 6.1410e-21 2.5950e-23 2.0500e-21 5.3948e-21
3.1660e+00 3.9719e-15 3.9719e-15 5.9550e-21 2.5860e-23 2.0119e-21 5.2576e-21
3.1950e+00 3.7604e-15 3.7604e-15 5.7770e-21 2.5770e-23 1.9744e-21 5.1251e-21
3.2250e+00 3.5553e-15 3.5553e-15 5.6050e-21 2.5680e-23 1.9377e-21 4.9927e-21
3.2550e+00 3.3632e-15 3.3632e-15 5.4400e-21 2.5590e-23 1.9016e-21 4.8649e-21
3.2850e+00 3.1831e-15 3.1831e-15 5.2800e-21 2.5510e-23 1.8662e-21 4.7416e-21
3.3150e+00 3.0141e-15 3.0141e-15 5.1270e-21 2.5420e-23 1.8315e-21 4.6224e-21
3.3460e+00 2.8504e-15 2.8504e-15 4.9790e-21 2.5330e-23 1.7974e-21 4.5035e-21
3.3770e+00 2.6970e-15 2.6970e-15 4.8360e-21 2.5250e-23 1.7639e-21 4.3887e-21
3.4080e+00 2.5531e-15 2.5531e-15 4.6980e-21 2.5160e-23 1.7310e-21 4.2778e-21
3.4400e+00 2.4138e-15 2.4138e-15 4.5650e-21 2.5070e-23 1.6987e-21 4.1673e-21
3.4720e+00 2.2834e-15 2.2834e-15 4.4360e-21 2.4990e-23 1.6670e-21 4.0607e-21
3.5040e+00 2.1611e-15 2.1611e-15 4.3120e-21 2.4900e-23 1.6359e-21 3.9577e-21
3.5360e+00 2.0464e-15 2.0464e-15 4.1920e-21 2.4820e-23 1.6054e-21 3.8582e-21
3.5690e+00 1.9354e-15 1.9354e-15 4.0760e-21 2.4730e-23 1.5754e-21 3.7591e-21
3.6020e+00 1.8315e-15 1.8315e-15 3.9630e-21 2.4650e-23 1.5459e-21 3.6635e-21
3.6350e+00 1.7339e-15 1.7339e-15 3.8550e-21 2.4570e-23 1.5170e-21 3.5711e-21
3.6690e+00 1.6397e-15 1.6397e-15 3.7500e-21 2.4480e-23 1.4887e-21 3.4793e-21
3.7030e+00 1.5514e-15 1.5514e-15 3.6480e-21 2.4400e-23 1.4608e-21 3.3905e-21
3.7370e+00 1.4687e-15 1.4687e-15 3.5490e-21 2.4320e-23 1.4335e-21 3.3049e-21
3.7720e+00 1.3888e-15 1.3888e-15 3.4540e-21 2.4230e-23 1.4067e-21 3.2197e-21
3.8070e+00 1.3139e-15 1.3139e-15 3.3610e-21 2.4150e-23 1.3803e-21 3.1375e-21
